"7583","","","","","","","tool=weaver's needle","","","","","YES","NO",""
"7589","","1","","","","","tools=chisel (scalprum), hammer","","","","","YES","NO",""
"7590","1","","","","","","","","","","","NO","NO",""
"7591","","2","","","","","wreath; the text and palms are framed by a wreath flanked by big doves","","","2","","NO","NO",""
"7593","","","","","","","giant vase","","","","","NO","NO",""
"7595","","","","","","","","","","1","","NO","NO",""
"7598","","","","","","1","and probably another hedera; that seems to be the only thing missing (ed.)","","","","","NO","NO",""
"7599","","","","","","1","","","","","","NO","NO",""
"7601","","1","","","1","","bird on frond","","","","","NO","NO",""
"7603","","","","","1","","frond=branch of tree or briar bush","","","","","NO","NO",""
"7605","","","","","","","","","","1","","NO","NO",""
"7607","","1","1","","1","","bird with frond in feet","","","","","NO","NO",""
"7610","","1","","","","1","bird on what looks like olive (has berries)","1","","","","NO","NO",""
"7619","","","","","","","equilateral cross","","","","","NO","NO",""
"7621","","1","","","","","bird holds vase in beak; ed.: vase is symbolic of victory","","","","","NO","NO",""
"7623","","","","","","1","text is inside a ""hatcheted"" tabella, but the ""hatchets"" are in the shape of hederae","","","","","NO","NO",""
"7624","","","","","","","two rows of five circles, one above, one below text","","","","","NO","NO",""
"7626","","","","","","1","","","","","","NO","NO",""
"7628","","1","","","","","","","","","","NO","NO",""
"7630","","","1","","","1","","","","","","NO","NO",""
"7633","","1","","","1","2","bird grabbing branch","","","","","NO","NO",""
"7634","","","1","","","","","","","","","NO","NO",""
"7636","","2","","","2","","two birds with fronds in beaks","","","","","NO","NO",""
"7637","","","","","","","","","","2","","NO","NO",""
"7640","","1","","","1","","bird grabs frond","","","","","NO","NO",""
"7647","","","","","","2","","","","","","NO","NO",""
"7649","","","","","","1","","","","","","NO","NO",""
"7652","","","","","2","","","","2","","2","NO","NO",""
"7653","","1","","","","","giant swastika; bird with olive in beak","1","","","","NO","NO",""
"7655","","1","","","","","bird on what looks like olive (has berries)","1","","","","NO","NO",""
"7656","","","","","","","tool=eight-spoked wheel","","","","","YES","NO",""
"7659","","","","","","1","","","","","","NO","NO",""
"7671","","","","","","","cross to left of text","","","","","NO","NO",""
"7672","","1","","","","","","","","","","NO","NO",""
"7674","","","","","","1","","","","","","NO","NO",""
"7677","","","","","","1","","","","","","NO","NO",""
"7683","","","","","","1","","","","","","NO","NO",""
"7685","","","","","","","vase","","","1","","NO","NO",""
"7689","","","","","","","wreath","","","","","NO","NO",""
"7695","","1","","","1","","bird holds frond in beak","","","","","NO","NO",""
"7696","","","","","","","tool=three medical instruments","","","","","YES","NO",""
"7701","","","","","","","","","","1","","NO","NO",""
"7702","","1","","","","","bird with olive in beak","1","","1","","NO","NO",""
